Tahun;Pendapatan Asli Daerah;Dana Perimbangan;Lain-lain Pendapatan yang Sah;Belanja Tidak Langsung;Belanja Langsung
2002;440591;366644;17760;616423;355852
2003;621017;424955;0;517237;644795
2004;874268;485666;0;577225;863013
2005;1026891;475583;0;726859;919417
2006;1377138;738653;0;868738;1400252
2007;1502955;921819;37418;1371067;1346788
2008;1897497;1036906;22874;1930594;1358566
2009;2104203;1118069;26728;2211036;1404940
2010;2226498;1175258;32756;2037733;1795448
2011;3181900;1271127;27756;2031752;2646109
2012;4026427;1686144;1619965;5022929;2654924
2013;4809369;2007091;1665412;6187922;2679618
2014;4944502;1906486;1637656;5706320;2819981
2015;5257837;1838572;1578597;5619855;3060088
2016;4630468;2272746;3070775;7059489;2891355
2017;4925627;7235420;9533;8752069;4282614
2018;5732425;7295580;9533;9287573;4579965
2019;7583849;7736050;7852;10466265;5077641
